,Unnamed: 0,Unnamed: 0.1,Name,VarianceFantasyEvaluation,PlayedMatches,Team,Role,MedianFantasyEvaluation,WeightedFantasyEvaluation,Qt..A,Qt..I,Plays2018_2019,Owner,Price,MantraRole,MeanFantasyEvaluation,Id,R,Squadra,Qt. A,Qt. I,Diff.,ComputedPrices
157,157,317.0,IZZO,1.05,16.0,Genoa,D,6.0,2.5789473684,9.0,9.0,,VE,9.0,Dd,6.09523809523809,226,D,Torino,16,16,0,4.827080726095898
158,158,319.0,JANKTO,2.8593253968,36.0,Udinese,C,6.0,6.092105263200001,14.0,15.0,,,,C,6.36842105263158,1987,C,Sampdoria,9,9,0,13.151438382032424
159,159,324.0,JOAOPEDRO,3.2359307359,22.0,Cagliari,C,5.75,3.7368421053,12.0,13.0,,,,T,6.58333333333333,1874,A,Cagliari,16,16,0,19.37339013674239
160,160,325.0,JUANJESUS,0.4464285714,22.0,Roma,D,6.0,3.3289473684,6.0,7.0,,,,Dc,5.73913043478261,256,D,Roma,5,5,0,-10.60799839327083
161,161,327.0,KARNEZIS,,1.0,,P,,0.0,1.0,1.0,,,,Por,5.5,570,P,Napoli,1,1,0,16.96063926488587
162,162,332.0,KESSIE,3.6174924925,37.0,Milan,C,6.0,6.1315789474,12.0,11.0,,,,C,6.3902439024390185,1850,C,Milan,13,13,0,14.09732483939491
163,163,334.0,KHEDIRA,9.5834615385,26.0,Juventus,C,6.0,4.9868421053,19.0,18.0,,GATTI,16.0,C,7.216666666666669,299,C,Juventus,10,10,0,49.91767404385769
164,164,338.0,KLAVAN,,21.0,,D,,3.9845116956,7.0,7.0,,,,Dc,5.75,2871,D,Cagliari,6,6,0,-10.136869524801842
165,165,339.0,KLUIVERT,,35.0,,A,,6.327430495900002,18.0,18.0,,,,A,6.25,2779,C,Roma,16,16,0,8.018613341343249
166,166,340.0,KOLAROV,1.637394958,35.0,Roma,D,6.5,6.1052631579,16.0,17.0,,,,E,6.5,2214,D,Roma,16,15,1,22.371022399562747
167,167,342.0,KOUAME,,1.0,,A,,0.0,5.0,3.0,,,,Pc,7.0,2762,A,Genoa,17,16,1,37.43333009472285
168,168,343.0,KOULIBALY,2.5785714286,35.0,Napoli,D,6.5,6.1973684211,15.0,17.0,,BRYAN,17.0,Dc,6.6125,392,D,Napoli,15,16,-1,27.247206188217426
169,169,346.0,KREJCI,0.1571969697,12.0,Bologna,C,6.0,1.8026315789,4.0,5.0,,,,W,5.692307692307692,1858,C,Bologna,3,3,0,-16.153921679338143
170,170,347.0,KRUNIC,,30.0,,C,,4.7231839663,10.0,9.0,,,,C,6.6,148,C,Milan,13,13,0,23.188962906046708
171,171,349.0,KURTIC,1.7919540230000002,30.0,SPAL,C,5.5,4.7631578947,10.0,9.0,,,,T,6.128571428571429,28,C,SPAL,16,16,0,2.755430839303286
172,172,353.0,LAPADULA,2.7337962963,28.0,Genoa,A,5.5,4.6973684211,11.0,12.0,,VE,6.0,Pc,6.375,1939,A,Lecce,13,14,-1,10.343420157752355
173,173,354.0,LASAGNA,5.373768472899999,29.0,Udinese,A,6.5,5.6973684211,20.0,22.0,,,,Pc,7.26470588235294,90,A,Udinese,16,16,0,48.90670371508678
174,174,355.0,LAURINI,0.33766233770000004,22.0,Fiorentina,D,6.0,3.3947368421,2.0,3.0,,,,Dd,5.86363636363636,141,D,Parma,7,7,0,-5.211431354443739
175,175,357.0,LAXALT,1.8324092742,32.0,Genoa,C,6.0,5.3289473684,9.0,9.0,,,,E,6.3,235,C,Milan,5,5,0,10.18580613630088
176,176,358.0,LAZOVIC,0.2369047619,21.0,Genoa,C,6.0,3.3289473684,5.0,5.0,,,,C,5.96,236,C,Verona,7,7,0,-4.551104869411061
177,177,360.0,LAZZARIM,1.2285714286,36.0,SPAL,C,6.5,6.0,11.0,10.0,,,,E,6.3780487804877986,2263,C,Lazio,15,15,0,13.568741230868635
178,178,362.0,LERIS,0.25,4.0,Chievo,A,6.0,0.6052631579,1.0,1.0,,,,A,5.75,2334,C,Sampdoria,5,5,0,-13.653314608233144
179,179,363.0,LINETTY,1.8275862069,29.0,Sampdoria,C,6.0,4.9210526316,7.0,6.0,,,,C,6.39393939393939,2008,C,Sampdoria,11,11,0,14.257501690463556
180,180,364.0,LIROLA,0.3405797101,24.0,Sassuolo,D,6.0,3.6842105263,8.0,6.0,,,,Dd,6.03448275862069,2006,D,Fiorentina,11,11,0,2.1937101706468267
181,181,367.0,LOCATELLIM,0.0976190476,21.0,Milan,C,6.0,3.2894736842000003,7.0,7.0,,,,C,5.98,827,C,Sassuolo,11,11,0,-3.684227751427985
182,182,371.0,LUCASLEIVA,0.935515873,36.0,Lazio,C,6.5,6.1710526315999985,11.0,12.0,,,,C,6.475,2209,C,Lazio,9,9,0,17.770980918652608
183,183,373.0,LUISALBERTO,7.0073529412,34.0,Lazio,C,6.5,6.723684210499999,27.0,27.0,,VE,20.0,T,7.42105263157895,2085,C,Lazio,21,20,1,58.77654985482489
184,184,375.0,LUIZFELIPE,0.4060457516,18.0,Lazio,D,6.0,2.7763157895,7.0,8.0,,,,Dc,5.84210526315789,2335,D,Lazio,8,7,1,-6.144672270932701
185,185,376.0,LUKAKUJ,0.9781609195,30.0,Lazio,D,6.0,4.9473684211,4.0,5.0,,,,E,6.26666666666667,1999,D,Lazio,3,3,0,12.257456023093916
186,186,377.0,LUKIC,,1.0,,C,,0.0,1.0,2.0,,,,C,6.0,2009,C,Torino,6,5,1,-2.817350633444948
187,187,378.0,LULIC,2.2878151261,35.0,Lazio,C,6.0,5.8552631579,11.0,11.0,,,,E,6.37179487179487,338,C,Lazio,12,12,0,13.297672713675864
188,188,380.0,LUPERTO,,1.0,,D,,0.0,2.0,2.0,,,,Ds,5.75,393,D,Napoli,3,3,0,-10.136869524801842
189,189,382.0,LYANCO,0.5,4.0,Torino,D,6.25,0.6315789474,5.0,6.0,,VE,2.0,Dc,6.0,2171,D,Torino,8,8,0,0.6990944499863538
190,190,383.0,LYKOGIANNIS,0.4409090909,11.0,Cagliari,D,6.0,1.7631578947,4.0,5.0,,,,Ds,6.0,2653,D,Cagliari,4,4,0,0.6990944499863538
191,191,386.0,MAGNANELLI,0.3545866935,32.0,Sassuolo,C,6.0,4.8552631579000005,5.0,5.0,,,,M,5.77272727272727,528,C,Sassuolo,5,5,0,-12.668226974161616
192,192,388.0,MAGNANI,,1.0,,D,,0.0,3.0,2.0,,,,Dc,6.16666666666667,2769,D,Brescia,6,6,0,7.923070433178613
193,193,391.0,MAKSIMOVIC,0.0,2.0,Napoli,D,6.0,0.3157894737,3.0,4.0,,,,Dc,6.0,550,D,Napoli,5,5,0,0.6990944499863538
194,194,392.0,MANCINIG,2.0045454545,11.0,Atalanta,D,6.0,1.7763157895,8.0,8.0,,,,Dc,6.1538461538461515,2296,D,Roma,14,14,0,7.367379972932835
195,195,393.0,MANDRAGORA,1.2253968254,36.0,Crotone,C,6.0,5.7368421053,9.0,9.0,,BRYAN,5.0,C,6.05,1933,C,Udinese,8,8,0,-0.6501578384873165
196,196,395.0,MANDZUKIC,2.8941532258,32.0,Juventus,A,6.0,5.3947368421,20.0,18.0,,,,Pc,6.5945945945945885,312,A,Juventus,22,22,0,19.861496622093075
197,197,396.0,MANOLAS,1.3318965517,29.0,Roma,D,6.0,4.75,12.0,12.0,,BRYAN,17.0,Dc,6.22058823529412,459,D,Napoli,13,13,0,10.260239133623118
198,198,398.0,MARCHETTI,,37.0,,P,,4.9909204044,9.0,10.0,,,,Por,3.25,318,P,Genoa,1,1,0,-80.5630365082079
199,199,399.0,MARIORUI,1.5566666667,25.0,Napoli,D,6.0,4.1710526316,7.0,8.0,,,,E,6.20689655172414,142,D,Napoli,5,5,0,9.666788773949074
200,200,401.0,MARLON,,31.0,,D,,4.4001562034,7.0,8.0,,,,Dc,5.5,2355,D,Sassuolo,6,6,0,-20.97283349959004
201,201,402.0,MARTINEZL,,37.0,,A,,6.202592481900001,16.0,17.0,,,,Pc,5.5,2764,A,Inter,25,26,-1,-27.58245375400633
202,202,403.0,MARUSIC,1.8346774194,32.0,Lazio,C,6.0,5.4210526315999985,9.0,9.0,,,,E,6.351351351351348,2188,C,Lazio,5,5,0,12.411571709500489
203,203,404.0,MASIELLOA,1.9365591398,31.0,Atalanta,D,6.5,5.4210526315999985,13.0,14.0,,,,Dd,6.528571428571429,15,D,Atalanta,7,7,0,23.60941828239572
204,204,406.0,MATRI,2.0681818182,23.0,Sassuolo,A,6.0,3.6315789474,2.0,3.0,,,,Pc,6.0,380,A,Sassuolo,4,4,0,-5.910525804429939
205,205,407.0,MATTIELLO,0.2610837438,29.0,SPAL,D,6.0,4.3947368421,8.0,8.0,,,,E,5.867647058823531,106,D,Cagliari,5,5,0,-5.037592360195574
206,206,408.0,MATUIDI,1.4586693547999998,32.0,Juventus,C,6.0,5.3947368421,16.0,15.0,,BRYAN,15.0,M,6.5,2306,C,Juventus,12,12,0,18.854577316131444
207,207,412.0,MAZZITELLI,0.4809210526,20.0,Sassuolo,C,6.0,3.0657894737,6.0,6.0,,,,C,5.84090909090909,1976,C,Sassuolo,2,2,0,-9.712964071946569
208,208,414.0,MBAYE,1.1183333333,25.0,Bologna,D,6.0,3.8947368421,4.0,5.0,,,,Dc,5.923076923076921,50,D,Bologna,5,5,0,-2.635048311487041
209,209,420.0,MEITE,,1.0,,C,,0.0,6.0,3.0,,,,C,7.6,2789,C,Torino,9,9,0,66.5328188051995
210,210,422.0,MERET,4.4423076923,13.0,SPAL,P,6.0,1.9605263158,13.0,14.0,,,,Por,5.73076923076923,572,P,Napoli,14,15,-1,26.96306754930571
211,211,423.0,MERTENS,10.0094238976,38.0,Napoli,A,6.25,7.723684210499999,30.0,31.0,,BRYAN,30.0,A,7.627906976744192,410,A,Napoli,29,28,1,64.64923961279577
212,212,424.0,MILENKOVIC,0.3666666667,16.0,Fiorentina,D,6.0,2.4210526316,8.0,6.0,,ME,4.0,Dd,6.2,2164,D,Fiorentina,10,9,1,9.367865629816919
213,213,426.0,MILIK,4.6857142857,15.0,Napoli,A,6.0,2.8026315789,26.0,26.0,,GATTI,20.0,Pc,7.13157894736842,2012,A,Napoli,28,28,0,43.136469028821864
214,214,427.0,MILINKOVICSAVIC,6.5117647059,35.0,Lazio,C,6.5,7.0,28.0,30.0,,ME,32.0,T,7.475,645,C,Lazio,23,23,0,61.1148368178054
215,215,431.0,MIRANTE,1.8428030303,33.0,Bologna,P,5.0,4.1710526316,1.0,1.0,,ME,1.0,Por,4.803030303030299,41,P,Roma,1,1,0,-13.248714846645024
216,216,432.0,MISSIROLI,0.7176470587999999,35.0,Sassuolo,C,6.0,5.6184210526,7.0,6.0,,,,C,6.0875,529,C,SPAL,6,6,0,0.9752367577309361
217,217,440.0,MURGIA,0.1989583333,16.0,Lazio,C,6.0,2.4342105263,2.0,3.0,,,,M,5.794117647058821,2003,C,SPAL,7,7,0,-11.741085671505937
218,218,442.0,MURRU,0.4598684211,20.0,Sampdoria,D,5.75,3.0131578947000004,6.0,6.0,,,,E,5.77083333333333,1868,D,Sampdoria,8,8,0,-9.233872526902955
219,219,444.0,MUSACCHIO,0.4238095238,15.0,Milan,D,5.5,2.1973684211,5.0,5.0,,,,Dc,5.65789473684211,2168,D,Milan,7,7,0,-14.129066778670984
220,220,445.0,NKOULOU,1.2304804805,37.0,Torino,D,6.0,6.0657894737,13.0,12.0,,ME,10.0,Dc,6.28571428571429,2288,D,Torino,15,15,0,13.083053278315909
221,221,448.0,NAINGGOLAN,2.823655914,31.0,Roma,C,6.5,5.6315789474,25.0,25.0,,,,C,6.941176470588241,467,C,Cagliari,16,16,0,37.97686668340497
222,222,450.0,NICOLAS,4.1640873016,36.0,Verona,P,4.0,4.0131578947,1.0,1.0,,,,Por,4.23611111111111,2271,P,Udinese,1,1,0,-37.82117860765451
223,223,453.0,NUYTINCK,0.9729344729,27.0,Udinese,D,6.0,4.3552631579000005,5.0,5.0,,,,Dc,6.125,2280,D,Udinese,4,4,0,6.117076437380452
224,224,461.0,OLSEN,,36.0,,P,,5.774257147799998,13.0,14.0,,VE,22.0,Por,4.1,2836,P,Roma,1,1,0,-43.720758993928044
225,225,463.0,OPOKU,,1.0,,D,,0.0,2.0,3.0,,,,Dc,6.0,2793,D,Udinese,2,2,0,0.6990944499863538
226,226,464.0,ORSOLINI,0.1291666667,16.0,Bologna,A,6.0,2.5,3.0,3.0,,,,T,5.9,2167,A,Bologna,17,17,0,-10.244911394345202
227,227,466.0,OSPINA,,1.0,,P,,0.0,1.0,1.0,,,,Por,3.8333333333333295,2468,P,Napoli,3,3,0,-55.279120567035605
228,228,467.0,OUNAS,0.0833333333,7.0,Napoli,A,6.0,1.1052631579,7.0,7.0,,,,A,6.0,2195,A,Napoli,8,8,0,-5.910525804429939
229,229,470.0,PALACIO,2.3399470899,28.0,Bologna,A,6.0,4.8684210526,8.0,8.0,,,,A,6.58620689655172,280,A,Bologna,13,13,0,19.497941446797366
230,230,471.0,PALOMINO,0.8753846154,26.0,Atalanta,D,6.0,4.2105263158,6.0,7.0,,,,Dc,6.06896551724138,2181,D,Atalanta,9,9,0,3.6883258913072607
231,231,472.0,PALOSCHI,3.0878968254,36.0,SPAL,A,5.5,5.9868421053,12.0,13.0,,,,Pc,6.2763157894736805,126,A,SPAL,9,9,0,6.066065957177907
232,232,473.0,PANDEV,2.6290322581,32.0,Genoa,A,6.0,5.473684210499999,11.0,9.0,,,,A,6.6,245,A,Genoa,10,10,0,20.095787735061716
233,233,474.0,PARIGINI,0.1904761905,21.0,Benevento,A,6.0,3.1710526316000003,6.0,7.0,,,,W,5.73913043478261,1982,C,Torino,2,2,0,-14.124443476702131
234,234,476.0,PAROLO,3.1349462366000003,31.0,Lazio,C,6.0,5.3684210526,13.0,13.0,,,,C,6.65277777777778,342,C,Lazio,14,14,0,25.476555300724343
235,235,478.0,PASALIC,,36.0,,C,,5.774257147799998,15.0,14.0,,VE,16.0,C,6.7,2077,C,Atalanta,9,9,0,27.523348495962008
236,236,482.0,PASTORE,,34.0,,C,,6.6633038085,21.0,21.0,,GATTI,20.0,T,6.375,2378,C,Roma,11,11,0,13.436595328737347
237,237,484.0,PATRIC,0.35,11.0,Lazio,D,6.0,1.7368421053,1.0,2.0,,,,Ds,6.0,327,D,Lazio,2,2,0,0.6990944499863538
238,238,487.0,PAVOLETTI,4.4446022727,33.0,Cagliari,A,6.0,6.0,18.0,17.0,,,,Pc,7.0,247,A,Cagliari,25,26,-1,37.43333009472285
239,239,488.0,PEGOLO,2.0,2.0,Sassuolo,P,5.0,0.2631578947,1.0,1.0,,,,Por,5.0,510,P,Sassuolo,1,1,0,-4.711288684690522
240,240,489.0,PELLEGRINILO,,36.0,,C,,5.774257147799998,13.0,14.0,,,,C,5.16666666666667,530,C,Roma,13,13,0,-38.93723054940548
241,241,491.0,PELUSO,1.0698924731,31.0,Sassuolo,D,6.0,4.7763157895,3.0,4.0,,,,Dc,5.85483870967742,521,D,Sassuolo,3,3,0,-5.592755599890639
242,242,496.0,PERIN,1.384009009,37.0,Genoa,P,5.0,5.0,1.0,1.0,,VE,7.0,Por,5.13513513513514,218,P,Juventus,1,1,0,1.145989139519543
243,243,499.0,PEROTTI,4.3516666667,25.0,Roma,C,6.0,4.3947368421,15.0,16.0,,,,W,6.5961538461538485,237,C,Roma,14,14,0,23.02225576797316
244,244,501.0,PESSINA,,10.0,,C,,1.5935300604,5.0,5.0,,,,C,6.25,2741,C,Verona,3,3,0,8.018613341343249
245,245,502.0,PETAGNA,2.6416256158,29.0,Atalanta,A,6.0,4.9342105263,14.0,15.0,,,,Pc,6.558823529411759,383,A,SPAL,26,25,1,18.311040727449317
246,246,503.0,PEZZELLAGER,0.8493761140999999,34.0,Fiorentina,D,6.0,5.473684210499999,10.0,10.0,,BRYAN,7.0,Dc,6.10526315789474,2309,D,Fiorentina,9,10,-1,5.261605597265724
247,247,504.0,PEZZELLAGIU,0.3738095238,15.0,Udinese,D,5.5,2.1842105263,4.0,5.0,,,,E,5.5333333333333306,770,D,Parma,5,5,0,-19.52803830295173
248,248,506.0,PIATEK,,35.0,,A,,5.6077246726,15.0,13.0,,,,Pc,10.75,2756,A,Milan,37,38,-1,199.9727897165458
249,249,507.0,PINAMONTI,,1.0,Inter,A,6.0,0.1578947368,6.0,7.0,,,,Pc,6.0,2038,A,Genoa,21,20,1,-5.910525804429939
250,250,508.0,PINSOGLIO,,1.0,Juventus,P,5.0,0.1315789474,1.0,1.0,,,,Por,5.0,1930,P,Juventus,1,1,0,-4.711288684690522
251,251,509.0,PISACANE,0.4995471014,24.0,Cagliari,D,5.75,3.6184210526,3.0,4.0,,,,Dd,5.68,1869,D,Cagliari,4,4,0,-13.17093943774255
252,252,512.0,PJACA,,38.0,,A,,6.0697261987,16.0,16.0,,,,A,7.25,1998,A,Juventus,4,4,0,48.26929406951104
253,253,513.0,PJANIC,3.2989247312,31.0,Juventus,C,6.5,5.7368421053,21.0,20.0,,BRYAN,10.0,C,7.042857142857139,469,C,Juventus,16,16,0,42.38409908995708
254,254,514.0,POLI,1.2651209677,32.0,Bologna,C,6.0,5.1315789474,8.0,8.0,,,,M,6.05555555555556,374,C,Bologna,9,9,0,-0.4093586390473871
255,255,516.0,POLITANO,6.25,36.0,Sassuolo,A,6.0,6.5526315789,15.0,15.0,,ME,8.0,A,6.79268292682927,536,A,Inter,12,12,0,28.447408749776624
256,256,522.0,PULGAR,2.5393145161,32.0,Bologna,C,6.0,5.1315789474,9.0,10.0,,,,C,6.013888888888888,644,C,Fiorentina,14,12,2,-2.215352634845625
257,257,524.0,PUSSETTO,,35.0,,A,,5.4248756564,11.0,12.0,,,,W,6.25,2826,A,Udinese,11,11,0,4.925438170358257
258,258,526.0,QUAGLIARELLA,9.605042016799999,35.0,Sampdoria,A,6.5,7.3026315789,28.0,28.0,,ME,16.0,Pc,8.0,568,A,Sampdoria,33,34,-1,80.77718599387563
259,259,527.0,RADOVANOVIC,0.8201680672,35.0,Chievo,C,6.0,5.473684210499999,7.0,7.0,,,,M,5.9125,118,C,Genoa,7,6,1,-6.609938024620832
260,260,529.0,RADU,0.3951612903,31.0,Lazio,D,6.0,4.8026315789,8.0,8.0,,,,Dc,5.9,329,D,Lazio,8,7,1,-3.6352911399289094
261,261,531.0,RAFAEL,1.5555555556,10.0,Cagliari,P,5.0,1.3157894737,1.0,1.0,,,,Por,5.0,611,P,Cagliari,2,1,1,-4.711288684690522
262,262,532.0,RAMIREZ,2.5285285285,37.0,Sampdoria,C,6.0,6.1710526315999985,13.0,14.0,,ME,8.0,T,6.31707317073171,2287,C,Sampdoria,10,10,0,10.92582318823777
263,263,533.0,RANOCCHIA,2.5545454545,11.0,Inter,D,6.0,1.9210526316,3.0,4.0,,,,Dc,6.63636363636364,261,D,Inter,3,2,1,28.28154820399284
264,264,534.0,RASMUSSEN,,1.0,,D,,0.0,3.0,3.0,,,,Dc,5.33333333333333,2752,D,Fiorentina,2,2,0,-28.1968094827823
265,265,535.0,REGINI,0.2857142857,14.0,Sampdoria,D,6.0,2.1578947368,2.0,3.0,,,,Dc,5.857142857142861,490,D,Sampdoria,2,2,0,-5.492884964178153
266,266,537.0,REINA,1.5758258258000002,37.0,Napoli,P,6.0,5.1578947368,1.0,1.0,,,,Por,5.2972972972973,387,P,Milan,1,1,0,8.174722528571236
267,267,539.0,RIGONIL,2.1106719368,23.0,Genoa,C,6.0,3.7763157895,7.0,8.0,,,,C,6.1481481481481515,438,C,Parma,3,3,0,3.603961351614868
268,268,542.0,RINCON,0.6783730159,36.0,Torino,C,6.0,5.6710526315999985,8.0,7.0,,,,C,5.9875,238,C,Torino,8,8,0,-3.3591488321843657
269,269,544.0,RODRIGUEZR,1.1553030303,34.0,Milan,D,6.0,5.1447368421,8.0,8.0,,,,E,5.80263157894737,2169,D,Milan,8,8,0,-7.855613951162157
270,270,546.0,ROG,0.4761904762,28.0,Napoli,C,6.0,4.4736842105,5.0,6.0,,,,C,6.046875,2076,C,Cagliari,10,10,0,-0.7856073881721611
271,271,548.0,ROGERIO,0.3173076923,13.0,Sassuolo,D,6.0,1.9605263158,5.0,4.0,,,,E,5.77777777777778,2318,D,Sassuolo,7,7,0,-8.932873527603043
272,272,550.0,ROMAGNA,0.4229249012,23.0,Cagliari,D,6.0,3.5263157895,6.0,6.0,,VE,6.0,Dc,5.78571428571429,2279,D,Cagliari,5,5,0,-8.588874671260484
273,273,551.0,ROMAGNOLIA,1.2685185185,28.0,Milan,D,6.0,4.6052631579000005,10.0,10.0,,,,Dc,6.203125,460,D,Milan,14,14,0,9.503315179501763
274,274,552.0,ROMULO,1.7728978979,37.0,Verona,C,6.0,6.1973684211,9.0,9.0,,ME,1.0,M,6.31707317073171,621,C,Genoa,7,7,0,10.92582318823777
275,275,554.0,ROSSETTINI,0.5276679842,23.0,Genoa,D,6.0,3.5526315789,6.0,5.0,,,,Dc,5.78571428571429,54,D,Lecce,5,5,0,-8.588874671260484
276,276,556.0,ROSSIF,,1.0,Atalanta,P,4.5,0.1184210526,1.0,1.0,,,,Por,4.5,2297,P,Atalanta,1,1,0,-26.383216634266915
277,277,557.0,RUGANI,1.4978354978,22.0,Juventus,D,6.0,3.7368421053,7.0,8.0,,,,Dc,6.45652173913043,294,D,Juventus,7,7,0,20.48650692568634
278,278,558.0,SALA,0.5064102564,13.0,Sampdoria,D,5.5,1.9210526316,3.0,3.0,,,,E,5.66666666666667,630,D,Sampdoria,4,4,0,-13.748857516397779
279,279,560.0,SALAMON,0.3982683983,22.0,SPAL,D,6.0,3.3157894737,4.0,4.0,,,,Dc,5.6481481481481515,491,D,SPAL,3,3,0,-14.551521514530222
280,280,562.0,SAMIR,1.1978494624,31.0,Udinese,D,5.5,4.6973684211,7.0,6.0,,,,Ds,5.81944444444444,790,D,Udinese,8,7,1,-7.126879531805305
281,281,564.0,SANDRO,1.4464285713999998,14.0,Benevento,C,6.25,2.3289473684,8.0,9.0,,,,C,6.3,2646,C,Genoa,2,2,0,10.18580613630088
282,282,566.0,SANTANDER,,37.0,,A,,4.9909204044,10.0,10.0,,,,Pc,6.7,2743,A,Bologna,12,12,0,24.43017332497702
283,283,567.0,SANTON,0.5785714286,15.0,Inter,D,6.0,2.2105263158,3.0,3.0,,,,Dd,5.625,262,D,Roma,3,3,0,-15.55485151219594
284,284,571.0,SAPONARA,0.5923202614,18.0,Fiorentina,C,6.0,2.9342105263,11.0,10.0,,,,T,6.275,150,C,Genoa,10,10,0,9.102209738822083
285,285,574.0,SCHICK,1.8446969697,22.0,Roma,A,6.0,3.4868421053,17.0,17.0,,,,Pc,6.0,1974,A,Roma,12,12,0,-5.910525804429939
286,286,577.0,SENSI,2.3051470588,17.0,Sassuolo,C,6.0,2.8421052632,6.0,6.0,,,,M,6.35,1978,C,Inter,14,13,1,12.352998931258512
287,287,579.0,SEPE,,1.0,Napoli,P,6.0,0.1578947368,6.0,6.0,,,,Por,5.25,159,P,Parma,8,8,0,6.124675290097675
288,288,580.0,SILIGARDI,,21.0,,A,,3.9845116956,7.0,7.0,,,,A,6.5,637,A,Parma,8,8,0,15.761402145146453
289,289,582.0,SIMEONE,7.359886202,38.0,Fiorentina,A,5.5,7.2105263158,26.0,26.0,,BRYAN,,Pc,7.19047619047619,2061,A,Fiorentina,14,14,0,45.689302646942394
290,290,585.0,SIRIGU,2.6546546547,37.0,Torino,P,5.0,5.25,11.0,11.0,,,,Por,5.32142857142857,2179,P,Torino,14,14,0,9.220664997179966
291,291,586.0,SKORUPSKI,,1.0,Roma,P,6.5,0.1710526316,9.0,9.0,,,,Por,5.41666666666667,133,P,Bologna,9,9,0,13.348651273289933
292,292,587.0,SKRINIAR,1.6466927454,38.0,Inter,D,6.25,6.592105263200001,16.0,16.0,,ME,8.0,Dc,6.571428571428571,798,D,Inter,15,15,0,25.46701210664508
293,293,591.0,SORIANO,,35.0,,C,,5.4248756564,12.0,12.0,,,,T,6.6,2625,C,Bologna,14,14,0,23.188962906046708
294,294,594.0,SPINAZZOLA,0.4967320261,18.0,Atalanta,D,5.5,2.8157894737,5.0,6.0,,,,E,5.94444444444444,1852,D,Roma,7,7,0,-1.7088975444112071
295,295,597.0,SPORTIELLO,2.7173423423000003,37.0,Fiorentina,P,5.0,5.0,6.0,6.0,,ME,1.0,Por,4.96428571428571,4,P,Atalanta,1,1,0,-6.259283538231879
296,296,603.0,STRAKOSHA,2.3942034139,38.0,Lazio,P,5.0,5.0657894737,12.0,12.0,,VE,15.0,Por,5.1046511627907005,1934,P,Lazio,14,13,1,-0.1753037650116184
297,297,604.0,STRINIC,0.7334558823999999,17.0,Sampdoria,D,6.0,2.6973684211,4.0,5.0,,,,Ds,6.02941176470588,395,D,Milan,2,2,0,1.9739137411377863
298,298,606.0,STRYGERLARSEN,0.466954023,30.0,Udinese,D,6.0,4.6710526316,6.0,6.0,,,,Dc,5.8857142857142914,2315,D,Udinese,7,7,0,-4.254489081345144
299,299,610.0,SUSO,4.2470588235000015,35.0,Milan,A,6.5,6.3552631579,20.0,21.0,,BRYAN,,A,6.923076923076921,375,C,Milan,19,19,0,37.192362504234445
300,300,612.0,SZCZESNY,1.2334558824,17.0,Juventus,P,6.0,2.4736842105,18.0,18.0,,ME,23.0,Por,5.5,453,P,Juventus,17,17,0,16.96063926488587
301,301,613.0,TEODORCZYK,,35.0,,A,,5.4248756564,11.0,12.0,,,,Pc,5.4,2873,A,Udinese,8,8,0,-31.916839343921595
302,302,614.0,TERRACCIANO,,1.0,,P,,0.0,4.0,1.0,,,,Por,5.0,2815,P,Fiorentina,1,1,0,-4.711288684690522
303,303,615.0,THEREAU,5.1103896104,22.0,Fiorentina,A,6.0,4.1052631579000005,12.0,13.0,,,,A,7.09090909090909,606,A,Fiorentina,1,1,0,41.37368063100942
304,304,616.0,TOLOI,0.6064516128999999,31.0,Atalanta,D,6.5,5.1710526316,10.0,10.0,,,,Dc,6.3,695,D,Atalanta,10,10,0,13.702251219732181
305,305,617.0,TOMOVIC,0.5818965517,29.0,Chievo,D,5.5,4.3684210526,7.0,6.0,,,,Dc,5.77941176470588,169,D,SPAL,4,4,0,-8.86205023365041
306,306,619.0,TONELLI,5.5625,4.0,Napoli,D,5.5,0.6447368421,6.0,6.0,,,,Dc,6.25,144,D,Napoli,5,5,0,11.535058424774551
307,307,620.0,TRAOREHJ,,1.0,,C,,0.0,1.0,1.0,,,,T,6.0,2857,C,Sassuolo,11,11,0,-2.817350633444948
308,308,622.0,TROOSTEKONG,,1.0,,D,,0.0,5.0,3.0,,,,Dc,6.2,2870,D,Udinese,6,5,1,9.367865629816919
309,309,625.0,UNDER,5.6384615385000005,26.0,Roma,A,6.0,4.7631578947,20.0,21.0,,ME,14.0,A,6.83333333333333,2201,C,Roma,19,18,1,33.30252928251558
310,310,626.0,VALDIFIORI,0.2243589744,13.0,Torino,C,6.0,1.9342105263,3.0,3.0,,,,C,5.6875,405,C,SPAL,3,3,0,-16.362305601930192
311,311,627.0,VALOTI,3.1584615385,26.0,Verona,C,5.5,4.0789473684,4.0,5.0,,VE,5.0,C,5.96296296296296,2274,C,SPAL,6,6,0,-4.4226786297099885
312,312,629.0,VALZANIA,,1.0,,C,,0.0,2.0,2.0,,,,C,6.0,2742,C,Atalanta,5,5,0,-2.817350633444948
313,313,630.0,VECINO,1.9002463054,29.0,Inter,C,6.0,4.8157894737,9.0,10.0,,,,C,6.24242424242424,181,C,Inter,8,8,0,7.69025079665261
314,314,632.0,VERDI,4.7557932264,34.0,Bologna,C,6.0,6.5526315789,17.0,18.0,,ME,12.0,T,7.33333333333333,376,C,Napoli,17,17,0,54.97445723209197
